Unnamed: 0,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter,TCPInputPloss
53520,7347,21.0155,0.0007725,0.0095277,13137,21.7258,0.380725,0.0102763
53521,7467,21.0155,0.00074085,0.00964243,13331,21.7743,0.383766,0.0108769
53522,7091,21.0156,0.000814228,0.0104358,12698,21.7753,0.383137,0.0103953
53523,7299,21.0155,0.000773203,0.0100014,12832,21.8321,0.38334,0.0104426
53524,7042,21.0155,0.000792071,0.00979835,12542,21.7774,0.381775,0.0106044
53525,7768,21.0155,0.00071476,0.0123584,13776,21.8607,0.385214,0.0094367
53526,7106,21.0155,0.000782078,0.0091472,12663,21.8487,0.387284,0.010582
53527,7028,21.0156,0.000805711,0.00739898,12450,21.8282,0.383568,0.0107631
53528,7662,21.0155,0.000722779,0.009136,13696,21.7792,0.383107,0.00912675
53529,6774,21.0156,0.000835486,0.00915264,11983,21.7335,0.376607,0.0115998
53530,6878,21.0155,0.000788138,0.00857808,12139,21.7911,0.379061,0.0107917
53531,7094,21.0156,0.000831537,0.0117,12838,21.7393,0.386067,0.00981461
53532,6974,21.0156,0.000810682,0.00874677,12658,21.727,0.385103,0.00924317
53533,8122,21.0155,0.000698654,0.0109579,14455,21.8586,0.385875,0.00947769
53534,6948,21.0156,0.000828273,0.0105066,12435,21.7424,0.38288,0.00989144
53535,6603,21.0156,0.000837653,0.00999546,11732,21.7499,0.381518,0.0109103
53536,7692,21.0155,0.000737205,0.0111804,13339,21.9003,0.38031,0.0101957
53537,7594,21.0155,0.000766747,0.00908612,13584,21.8223,0.384169,0.00993816
53538,8088,21.0155,0.000686525,0.0102621,14421,21.8506,0.385963,0.00936135
53539,7069,21.0156,0.000788973,0.0125902,12553,21.8444,0.38686,0.00979845
53540,7168,21.0155,0.00079017,0.0103237,12880,21.7267,0.382417,0.00993789
53541,7752,21.0155,0.000714088,0.00928793,13643,21.8721,0.384708,0.00901561
53542,7052,21.0155,0.000786383,0.0107771,12617,21.7641,0.384326,0.0103828
53543,7306,21.0155,0.000777113,0.0113605,12900,22.0078,0.38724,0.0107752
53544,6651,21.0156,0.000853836,0.0117276,12008,21.7298,0.386053,0.0101599
53545,7130,21.0156,0.000844114,0.0105189,12662,21.9782,0.387391,0.0109777
53546,7271,21.0155,0.000758348,0.00907716,12988,21.7662,0.38228,0.0103172
53547,7331,21.0155,0.000771685,0.00900286,12857,21.7591,0.376322,0.0105779
53548,7571,21.0155,0.000765469,0.00898164,13624,21.7264,0.383644,0.00939518
53549,7611,21.0155,0.000744776,0.0103797,13414,21.8087,0.379649,0.0111078
53550,7355,21.0155,0.00077046,0.0119646,13127,21.7688,0.382547,0.00990325
53551,7328,21.0155,0.00077312,0.0107806,13205,21.75,0.385512,0.00961757
53552,7669,21.0155,0.000767999,0.00991003,13410,21.8508,0.380547,0.0102908
53553,7748,21.0155,0.000714059,0.0103252,13757,21.7759,0.381463,0.0089409
53554,8016,21.0155,0.000691899,0.00923154,14392,21.8424,0.388247,0.00924125
53555,8036,21.0155,0.000719344,0.0087108,14166,21.9823,0.385738,0.0102358
53556,6786,21.0156,0.000850166,0.0106101,12133,21.7484,0.382207,0.0104673
53557,7183,21.0155,0.000786991,0.00835306,12713,21.779,0.380596,0.0111697
53558,7393,21.0155,0.000785474,0.0110916,13278,21.7307,0.383643,0.0105438
53559,6493,21.0156,0.000889443,0.00816264,11406,21.7366,0.376356,0.0119235
53560,8022,21.0155,0.000709807,0.00835203,14357,21.9758,0.390049,0.00891551
53561,7137,21.0155,0.000789062,0.0100883,12566,22.0491,0.388693,0.0105045
53562,6879,21.0156,0.000822011,0.00843146,12334,21.7293,0.381831,0.0107021
53563,7328,21.0155,0.000773212,0.0095524,13299,21.7402,0.38749,0.00909843
53564,8292,21.0155,0.000685302,0.00928606,14679,22.0032,0.387691,0.00933306
53565,7466,21.0155,0.000793757,0.0113849,13410,21.7766,0.385909,0.0105891
53566,7862,21.0155,0.000751669,0.00928517,14103,21.7788,0.384755,0.00950152
53567,8040,21.0155,0.000720569,0.00858209,14358,21.853,0.385775,0.00905419
53568,7444,21.0155,0.00075936,0.00806018,13537,21.7272,0.386027,0.00930782
53569,7280,21.0155,0.000765045,0.0112637,12982,21.8456,0.385835,0.010245
53570,7132,21.0156,0.000797345,0.0107964,12583,21.8125,0.379788,0.0112851
53571,8333,21.0155,0.000672362,0.0120005,14862,21.8038,0.383981,0.00915085
53572,7100,21.0155,0.000782682,0.0108451,12565,21.7814,0.379994,0.0108237
53573,7577,21.0155,0.000764957,0.0108222,13655,21.8472,0.389338,0.00930062
53574,7778,21.0155,0.000761992,0.0102854,14055,21.7488,0.385767,0.00917823
53575,7680,21.0155,0.000741015,0.0078125,13669,21.8113,0.384295,0.010169
53576,6844,21.0156,0.000844476,0.0109585,12182,21.7721,0.382257,0.0110819
53577,7456,21.0155,0.000745313,0.0103273,13389,21.7565,0.384321,0.00933602
53578,7984,21.0155,0.00069678,0.0102705,13865,21.8809,0.378196,0.0107465
53579,8445,21.0155,0.00064624,0.0098283,15374,21.7702,0.388672,0.00800052
53580,7343,21.0155,0.000773763,0.0119842,12723,21.8721,0.380024,0.0110823
53581,7165,21.0155,0.000774594,0.0100488,12820,21.7488,0.383504,0.0101404
53582,7561,21.0155,0.000736606,0.0101838,13345,21.8329,0.3828,0.0107906
53583,7097,21.0155,0.000784173,0.0101451,12678,21.8312,0.384274,0.0088342
53584,6603,21.0156,0.000856788,0.0113585,11784,21.7214,0.379669,0.0116259
53585,7511,21.0155,0.000723734,0.0110505,13145,21.8192,0.379383,0.0104222
53586,4991,21.0157,0.00116195,0.0198357,8333,21.7625,0.361552,0.0217209
53587,4635,21.0158,0.00121807,0.0170442,7841,21.6967,0.359439,0.0218084
53588,4861,21.0157,0.00113453,0.0185147,8136,21.7438,0.360798,0.0204031
53589,4426,21.0158,0.00131062,0.0223678,7551,21.7229,0.368013,0.0198649
53590,4427,21.0158,0.00122181,0.0180709,7530,21.7185,0.366242,0.0193891
53591,4795,21.0157,0.00117899,0.0179353,8262,21.7016,0.367118,0.0216655
53592,4507,21.0158,0.00123091,0.0201908,7565,21.7228,0.361543,0.0216788
53593,4348,21.0158,0.00130621,0.0229991,7298,21.7451,0.36467,0.0221979
53594,5228,21.0157,0.00106052,0.0183627,8924,21.7323,0.366609,0.0192739
53595,5204,21.0157,0.00108837,0.0186395,8915,21.7042,0.366099,0.0173864
53596,5328,21.0157,0.00108489,0.0195195,9041,21.7993,0.366919,0.0182502
53597,5234,21.0157,0.00105808,0.0198701,8907,21.7563,0.369454,0.0193107
53598,3872,21.0159,0.00143657,0.0222107,6690,21.7072,0.370472,0.0204783
53599,4471,21.0158,0.00131842,0.0167748,7368,21.7756,0.355159,0.0214441
53600,4989,21.0157,0.00113157,0.0172379,8610,21.7416,0.37124,0.0188153
53601,5205,21.0157,0.00110932,0.0165226,8989,21.7053,0.368526,0.018022
53602,4650,21.0157,0.00117334,0.0243011,7997,21.7128,0.368099,0.0208828
53603,4987,21.0157,0.00111229,0.0214558,8463,21.7781,0.368114,0.0206782
53604,5257,21.0157,0.0010815,0.0209245,8744,21.7792,0.363251,0.0198994
53605,5179,21.0157,0.00106723,0.0162193,8691,21.7333,0.362642,0.0218617
53606,4911,21.0157,0.00114598,0.0171045,8194,21.8413,0.366843,0.0207469
53607,5216,21.0157,0.00103845,0.0201304,8737,21.7466,0.362623,0.0198008
53608,4376,21.0158,0.00128857,0.0178245,7426,21.7051,0.361806,0.0228925
53609,4788,21.0157,0.00115645,0.0206767,8202,21.7979,0.374157,0.0185321
53610,5276,21.0157,0.00105039,0.0189538,8756,21.8236,0.362564,0.0198721
53611,5023,21.0157,0.00118199,0.0211029,8407,21.7527,0.365739,0.020816
53612,4423,21.0158,0.00127395,0.0201221,7489,21.7453,0.367119,0.0198958
53613,4448,21.0158,0.00127579,0.0186601,7689,21.7518,0.374139,0.0205488
53614,5034,21.0157,0.00112805,0.0204609,8548,21.7333,0.368052,0.0194197
53615,4462,21.0158,0.0012133,0.0188256,7669,21.698,0.365477,0.021124
53616,4083,21.0159,0.00141591,0.0213079,6917,21.6849,0.358055,0.0248663
53617,4960,21.0157,0.00109259,0.0195565,8633,21.7103,0.372469,0.0183019
53618,4582,21.0158,0.00123787,0.0205151,7738,21.7153,0.360593,0.0228741
53619,5048,21.0157,0.00110262,0.022187,8580,21.7564,0.367682,0.0189977
53620,5118,21.0157,0.00105964,0.0212974,8821,21.724,0.370495,0.0184786
53621,4526,21.0158,0.00126114,0.0240831,7791,21.71,0.37026,0.019638
53622,3714,21.0159,0.00148778,0.0188476,6187,21.8082,0.363447,0.0237595
53623,4761,21.0157,0.00116228,0.0197438,8359,21.7024,0.374687,0.0183036
53624,4400,21.0158,0.00128817,0.0218182,7220,21.7392,0.352924,0.0224377
53625,5276,21.0157,0.00110181,0.0231236,8930,21.9974,0.372582,0.0200448
53626,4888,21.0157,0.0011818,0.0169804,8317,21.7668,0.368553,0.018877
53627,5167,21.0157,0.00112267,0.0201277,8708,21.7546,0.365463,0.0191778
53628,4671,21.0157,0.00118534,0.0184115,7776,21.7783,0.360042,0.0222479
53629,4932,21.0157,0.00112636,0.0218978,8602,21.703,0.37552,0.0173216
53630,5147,21.0157,0.0011522,0.0221488,8819,21.7344,0.370005,0.0189364
53631,4850,21.0157,0.0011432,0.0195876,8181,21.8107,0.37107,0.0209021
53632,4776,21.0157,0.00116264,0.0215662,8109,21.713,0.363641,0.0186213
53633,4498,21.0158,0.00120373,0.0215651,7542,21.768,0.362902,0.0189605
53634,5145,21.0157,0.00103104,0.0227405,8432,21.8409,0.360943,0.0202799
53635,5494,21.0157,0.00103589,0.0198398,9224,21.8019,0.367533,0.0192975
53636,4256,21.0158,0.00124907,0.0244361,7150,21.7319,0.362397,0.020979
53637,4537,21.0157,0.00111394,0.0222614,7577,21.7522,0.35974,0.0205886
53638,4806,21.0157,0.00115157,0.0193508,8171,21.7251,0.367065,0.0209277
53639,4850,21.0157,0.00116919,0.0212371,8254,21.7251,0.366659,0.0198692
53640,5007,21.0157,0.00110376,0.0161774,8546,21.764,0.367749,0.0179031
53641,5087,21.0157,0.00113962,0.0198545,8884,21.6956,0.372545,0.0195858
53642,4756,21.0157,0.00118754,0.0174516,8072,21.7157,0.3664,0.0214321
53643,4867,21.0157,0.00116345,0.020752,8425,21.7124,0.371529,0.0191098
53644,5294,21.0157,0.00100343,0.0217227,8741,21.8293,0.359037,0.0203638
53645,4787,21.0157,0.00113394,0.020681,8227,21.7204,0.368412,0.0198128
53646,4847,21.0156,0.000992838,0.0206313,8259,21.6908,0.361786,0.0207047
53647,4450,21.0158,0.00121521,0.0182022,7504,21.7112,0.360823,0.0222548
53648,4875,21.0157,0.00113831,0.0184615,8449,21.721,0.372448,0.0187004
53649,5020,21.0157,0.00102917,0.0181275,8629,21.719,0.368733,0.0198169
53650,5219,21.0157,0.00106137,0.0191608,8804,21.7479,0.364988,0.0191958
53651,5130,21.0157,0.00105963,0.0208577,8934,21.7076,0.370871,0.0193642
53652,5052,21.0156,0.00100287,0.0215756,8743,21.7659,0.373391,0.0194441
53653,4745,21.0157,0.00113919,0.0174921,8069,21.697,0.361534,0.019705
53654,4662,21.0157,0.00105643,0.01716,8056,21.701,0.367743,0.0202334
53655,4557,21.0158,0.00121869,0.0206276,7657,21.7363,0.36186,0.0223325
53656,4541,21.0158,0.00122012,0.0187183,7884,21.7102,0.372397,0.0199137
53657,21336,31.0153,0.000299564,0.0,41932,36.291,0.449658,0.000882381
53658,25356,31.0153,0.000253898,0.0,49676,36.2332,0.447906,0.000583783
53659,24653,31.0153,0.00025953,0.0,48493,36.5772,0.446447,0.00119605
53660,23231,31.0153,0.000276075,0.0,45254,36.0319,0.450529,0.00079551
53661,22825,31.0153,0.000270503,0.0,44341,35.8522,0.446957,0.00101486
53662,23133,31.0153,0.000271662,0.0,45347,35.7371,0.44691,0.00163186
53663,21444,31.0153,0.000298215,0.0,41994,36.4449,0.448886,0.0022146
53664,23411,31.0153,0.000274529,0.0,45868,36.3583,0.448062,0.000545042
53665,23776,31.0153,0.000269604,0.0,46744,36.1935,0.447894,0.00397912
53666,24103,31.0153,0.000266314,0.0,47046,36.1144,0.448944,0.00199804
53667,23858,31.0153,0.000269007,0.0,47171,36.8065,0.448181,0.000233194
53668,20722,31.0153,0.00030903,0.0,40639,36.0265,0.450968,0.000541352
53669,23645,31.0153,0.000270523,0.0,46340,36.147,0.451118,0.00170479
53670,25031,31.0153,0.000257081,0.0,49045,36.3187,0.446315,0.000530125
53671,22454,31.0153,0.000284511,0.0,44020,35.9121,0.448229,0.000931395
53672,22351,31.0153,0.000285104,0.0,43666,35.7079,0.448887,0.00341227
53673,22118,31.0153,0.000283885,0.0,43846,36.5085,0.447662,0.00214387
53674,24788,31.0153,0.000257989,0.0,48620,36.308,0.448432,0.00160428
53675,23726,31.0153,0.000271122,0.0,46440,36.1757,0.450089,0.000689061
53676,21492,31.0153,0.000298701,0.0,41988,35.6549,0.452449,0.00371535
53677,22903,31.0153,0.0002791,0.0,44726,35.8128,0.451231,0.00143094
53678,19821,31.0153,0.000322733,0.0,38815,35.96,0.454716,0.00095324
53679,24347,31.0153,0.000261873,0.0,47648,36.2352,0.450524,0.000503694
53680,21257,31.0153,0.00029974,0.0,41356,36.0408,0.455111,0.000967212
53681,22049,31.0153,0.000290599,0.0,43339,35.7406,0.449463,0.00389949
53682,22891,31.0153,0.000279164,0.0,45071,36.4774,0.448232,0.00155311
53683,23284,31.0153,0.00027625,0.0,45431,36.029,0.44879,0.0017389
53684,21742,31.0153,0.000295066,0.0,42382,35.4461,0.448346,0.00136851
53685,23495,31.0153,0.000273096,0.0,46002,36.1784,0.450395,0.00226077
53686,22078,31.0153,0.000284513,0.0,43479,35.9427,0.449099,0.000551991
53687,24587,31.0153,0.000260898,0.0,48362,36.7778,0.446565,0.001923
53688,25632,31.0153,0.00024935,0.0,50308,36.16,0.452113,0.00149082
53689,23127,31.0153,0.000278011,0.0,45033,36.2069,0.451242,0.000910443
53690,24006,31.0153,0.000266172,0.0,46952,36.5029,0.4501,0.000915829
53691,24429,31.0153,0.000261975,0.0,47779,36.2862,0.450201,0.000523242
53692,24662,31.0153,0.000259423,0.0,48220,36.1497,0.448882,0.00161759
53693,22037,31.0153,0.000273328,0.0,43079,36.1179,0.448226,0.00167135
53694,22000,31.0153,0.000290486,0.0,43215,36.1142,0.446945,0.000555363
53695,23984,31.0153,0.000267871,0.0,46745,36.0065,0.448626,0.000748743
53696,22667,31.0153,0.000283339,0.0,44270,35.8349,0.448747,0.00067766
53697,25785,31.0153,0.000248636,0.0,50479,36.4464,0.447514,0.000554686
53698,23116,31.0153,0.000276636,0.0,45173,35.9258,0.449201,0.000664114
53699,24603,31.0153,0.000260445,0.0,48239,36.4441,0.44802,0.00140965
53700,23963,31.0153,0.000268723,0.0,46835,36.0264,0.448729,0.000619195
53701,24120,31.0153,0.000265516,0.0,47159,36.2335,0.449226,0.000593736
53702,24154,31.0153,0.000266185,0.0,47522,36.3143,0.447432,0.00180969
53703,25128,31.0153,0.000255809,0.0,49041,35.9202,0.448835,0.000591342
53704,20286,31.0153,0.000309286,0.0,39494,35.4529,0.448826,0.00126602
53705,24510,31.0153,0.000262095,0.0,47839,36.033,0.451486,0.000794331
53706,22804,31.0153,0.000281294,0.0,44475,36.3763,0.449212,0.000944351
53707,24145,31.0153,0.000266065,0.0,47326,35.9515,0.448486,0.00107763
53708,24566,31.0153,0.000261571,0.0,48298,36.4535,0.450591,0.00279515
53709,25125,31.0153,0.000255752,0.0,49426,36.1689,0.448129,0.00044511
53710,21861,31.0153,0.000295056,0.0,42493,35.9764,0.452004,0.00322406
53711,24510,31.0153,0.000261968,0.0,47775,35.7417,0.450373,0.000648875
53712,20737,31.0153,0.000300894,0.0,40413,35.9581,0.448972,0.000791824
53713,22813,31.0153,0.000279813,0.0,44613,36.5842,0.446742,0.00407953
53714,23909,31.0153,0.000268632,0.0,46850,36.2852,0.446863,0.0011953
53715,23934,31.0153,0.000267306,0.0,46852,36.2189,0.448312,0.000554939
53716,24543,31.0153,0.000260101,0.0,48243,36.6351,0.449394,0.00132662
53717,24189,31.0153,0.000265587,0.0,47444,36.4048,0.448287,0.00153866
53718,19623,31.0153,0.000307983,0.0,38130,35.5907,0.453255,0.00183582
53719,24337,31.0153,0.000262274,0.0,47661,36.0614,0.450546,0.000839261
53720,23168,31.0153,0.000276309,0.0,45190,35.7576,0.451362,0.000708121
53721,23604,31.0153,0.000270633,0.0,46048,35.9539,0.444253,0.00247568
53722,22489,31.0153,0.000285183,0.0,44130,36.0981,0.450462,0.000385225
53723,21611,31.0153,0.000296469,0.0,42414,36.5933,0.447215,0.00233413
53724,23227,31.0153,0.000275307,0.0,45014,35.9347,0.44766,0.00142178
53725,24400,31.0153,0.000263883,0.0,47848,36.1201,0.448125,0.00167196
53726,22679,31.0153,0.000281404,0.0,44396,35.9244,0.449189,0.00074331
53727,21147,31.0153,0.00030143,0.0,41221,35.8568,0.449654,0.00140705
53728,5275,31.0156,0.000949621,0.0100474,9446,31.9265,0.393643,0.00952784
53729,4863,31.0157,0.00100211,0.00987045,8757,31.7672,0.388224,0.0106201
53730,5633,31.0156,0.00084757,0.0118942,10027,31.9403,0.390031,0.00917523
53731,4870,31.0156,0.000954253,0.00882957,8572,31.8546,0.385269,0.0113159
53732,4865,31.0156,0.000880521,0.010483,8507,31.983,0.385642,0.011755
53733,5004,31.0156,0.000953446,0.0103917,8865,31.8144,0.382906,0.0112803
53734,5507,31.0156,0.000845012,0.0118032,9649,31.9848,0.387583,0.0104674
53735,5306,31.0156,0.000917483,0.00942329,9347,31.778,0.379663,0.0104846
53736,4342,31.0157,0.00109895,0.0110548,7727,31.7573,0.385385,0.0112592
