Unnamed: 0,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter,TCPInputPloss
24530,1822,31.0345,0.00634945,0.0120746,3254,134.762,1.5582,0.00983405
24531,1860,31.0345,0.00623694,0.0139785,3367,137.874,1.49995,0.00861301
24532,1489,31.0349,0.00725328,0.014775,2573,133.582,1.81278,0.0155461
24533,1736,31.0345,0.00634732,0.00979263,3128,137.246,1.58528,0.00959079
24534,1728,31.0348,0.00682546,0.0150463,3052,136.439,1.66212,0.0108126
24535,1441,31.0351,0.00753021,0.0104094,2477,136.181,1.8742,0.0149374
24536,2032,31.0341,0.00549444,0.00738189,3617,137.78,1.4533,0.00912358
24537,1446,31.0352,0.0077796,0.00691563,2493,132.604,1.92631,0.0212595
24538,1648,31.0344,0.00623958,0.00546117,2868,133.418,1.66067,0.0122036
24539,1582,31.0346,0.00661551,0.00758534,2861,135.277,1.65974,0.00943726
24540,1771,31.0345,0.00635584,0.0107284,3183,133.955,1.66787,0.00879673
24541,1705,31.0347,0.00663141,0.0140762,3055,135.479,1.67412,0.0114566
24542,1599,31.0348,0.00689861,0.0106316,2850,134.473,1.64621,0.00947368
24543,1907,31.0344,0.00607252,0.00943891,3427,136.088,1.49736,0.011672
24544,1319,31.0353,0.00799717,0.00833965,2324,131.726,1.89382,0.0150602
24545,1904,31.0344,0.0060286,0.0131303,3404,130.533,1.51487,0.010282
24546,1686,31.0346,0.00657044,0.0118624,3038,133.776,1.58596,0.00954575
24547,1738,31.0344,0.00609788,0.0132336,3059,133.601,1.52802,0.00948022
24548,2219,31.0339,0.00515736,0.00540784,3840,145.627,1.38049,0.0109375
24549,1819,31.0345,0.00631777,0.00934579,3281,136.345,1.48743,0.00914355
24550,1671,31.0347,0.00670663,0.0131658,3003,135.445,1.64335,0.00899101
24551,1821,31.0345,0.00634735,0.00823723,3188,140.705,1.59318,0.011606
24552,2207,31.034,0.00536077,0.00860897,3875,140.029,1.37516,0.008
24553,2092,31.0341,0.00558682,0.00908222,3702,140.849,1.39996,0.0110751
24554,1866,31.0343,0.0058821,0.00643087,3182,141.06,1.54817,0.0150849
24555,1485,31.0348,0.00692705,0.0121212,2634,132.989,1.66156,0.0113895
24556,1427,31.0352,0.00788043,0.00981079,2495,134.957,1.78634,0.0156313
24557,1857,31.0344,0.00620876,0.00861605,3189,142.325,1.61228,0.0109752
24558,1670,31.0346,0.00642554,0.00898204,2987,133.515,1.70537,0.0120522
24559,1351,31.0354,0.00817494,0.0148038,2367,137.657,1.90969,0.0143642
24560,1583,31.0348,0.00693489,0.00884397,2803,132.573,1.6549,0.0114163
24561,1801,31.0344,0.00626427,0.00832871,3220,136.061,1.51277,0.00962733
24562,1699,31.0347,0.00665262,0.0135374,3052,133.24,1.50759,0.00884666
24563,1855,31.0343,0.00592782,0.00808625,3137,142.707,1.56206,0.0130698
24564,1767,31.0346,0.00642688,0.0124505,3128,135.616,1.51502,0.0111893
24565,1631,31.0347,0.00673914,0.00613121,2943,135.865,1.61877,0.00917431
24566,1481,31.035,0.00730817,0.01553,2642,134.496,1.7423,0.0117335
24567,1807,31.0344,0.00621383,0.00774765,3254,133.2,1.57059,0.00860479
24568,1747,31.0345,0.00629279,0.00801374,3126,134.752,1.59465,0.00959693
24569,1615,31.0348,0.00697734,0.0105263,2837,136.573,1.66572,0.0137469
24570,1673,31.0348,0.00683388,0.0119546,3085,139.965,1.53995,0.0155592
24571,1660,31.0347,0.00662255,0.010241,2948,137.476,1.60326,0.0108548
24572,1784,31.0346,0.00647345,0.00784753,3184,137.496,1.5817,0.00910804
24573,2129,31.0341,0.00543911,0.00986379,3847,136.265,1.54314,0.0106577
24574,1700,31.0346,0.00648961,0.0117647,3041,135.362,1.64727,0.0105229
24575,1824,31.0345,0.00614665,0.00712719,3197,136.26,1.56568,0.010635
24576,1894,31.0343,0.00597761,0.0105597,3388,132.247,1.49942,0.0094451
24577,1738,31.0346,0.00651365,0.0103567,3149,133.978,1.56537,0.00857415
24578,1762,31.0345,0.00637131,0.00681044,3094,137.145,1.68799,0.012605
24579,1920,31.0343,0.00583633,0.0223958,3273,83.425,1.34323,0.0198595
24580,1569,31.0348,0.00692743,0.0216699,2704,84.4151,1.48197,0.022929
24581,1749,31.0342,0.00578472,0.0222985,3013,82.852,1.47559,0.0212413
24582,1989,31.0341,0.00557992,0.0196078,3460,84.0839,1.32943,0.0190751
24583,1744,31.0342,0.00580484,0.0177752,2995,82.7093,1.30243,0.0190317
24584,1932,31.0341,0.00557166,0.0212215,3352,82.0635,1.3119,0.0173031
24585,1773,31.0341,0.00555566,0.0208686,2995,84.3154,1.46192,0.0217028
24586,1610,31.0347,0.00679368,0.0198758,2784,85.3443,1.42287,0.0222701
24587,1672,31.0345,0.0060781,0.0185407,2836,84.1251,1.43595,0.0229196
24588,1709,31.0342,0.00568633,0.0222352,2932,84.2573,1.50514,0.0208049
24589,2094,31.0338,0.00483118,0.0200573,3553,84.398,1.30604,0.0194202
24590,1716,31.0343,0.00594313,0.0198135,2926,83.8787,1.40302,0.020164
24591,1490,31.0346,0.00648313,0.0221477,2519,82.7521,1.51304,0.023819
24592,1640,31.0344,0.00617067,0.0213415,2759,83.1454,1.47004,0.0210221
24593,1923,31.034,0.00537584,0.0171607,3296,82.9712,1.431,0.0215413
24594,1733,31.0343,0.00596683,0.0144259,2930,83.9907,1.39781,0.0204778
24595,1881,31.034,0.00538478,0.0175439,3287,84.1415,1.33453,0.018558
24596,1768,31.0341,0.00558138,0.0226244,3057,82.6543,1.36457,0.0196271
24597,1785,31.0343,0.00583043,0.0257703,3055,83.8363,1.38382,0.0209493
24598,1811,31.0343,0.00591251,0.0176698,3099,82.0756,1.32997,0.0212972
24599,1739,31.0342,0.00565336,0.0189764,3022,81.2314,1.45293,0.0231635
24600,2125,31.0339,0.00509473,0.0169412,3644,82.2231,1.25277,0.0167398
24601,1824,31.0344,0.00609609,0.0230263,3069,83.2735,1.39213,0.0218312
24602,1900,31.034,0.00533113,0.0210526,3241,82.2941,1.43375,0.0219068
24603,1714,31.0345,0.0062874,0.0245041,2942,84.723,1.28757,0.0190347
24604,1716,31.0342,0.00571703,0.0168998,2877,82.55,1.45126,0.0239833
