Unnamed: 0,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter,TCPInputPloss
28990,1637,61.0171,0.00329475,0.0256567,2764,61.7729,0.382618,0.0213459
28991,1557,61.017,0.00312229,0.0192678,2659,61.763,0.382548,0.0236931
28992,1524,61.017,0.00318486,0.0177165,2592,61.7598,0.382486,0.0212191
28993,1346,61.0174,0.00399158,0.0208024,2299,61.7744,0.386327,0.0226185
28994,1458,61.0172,0.00342777,0.0198903,2422,61.7502,0.371964,0.0247729
28995,1856,61.0168,0.00276199,0.0280172,3165,61.8237,0.39547,0.0176935
28996,1623,61.0171,0.00330303,0.0197166,2750,62.2083,0.411172,0.0203636
28997,1335,61.0174,0.0038226,0.0179775,2278,61.7776,0.386743,0.0258999
28998,20913,71.0156,0.000255935,0.0,41776,74.6085,0.449448,0.0
28999,20927,71.0156,0.000255361,0.0,41804,74.6363,0.462148,0.0
29000,20918,71.0156,0.00026252,0.0,41786,74.3727,0.450151,0.0
29001,20943,71.0156,0.00025645,0.0,41836,74.5267,0.458592,0.0
29002,20937,71.0156,0.000256029,0.0,41824,74.5247,0.458683,0.0
29003,20933,71.0156,0.000254568,0.0,41816,74.605,0.457626,0.0
29004,20928,71.0156,0.000258558,0.0,41806,74.5041,0.459596,0.0
29005,20922,71.0156,0.000255384,0.0,41794,74.6235,0.453918,0.0
29006,20908,71.0156,0.000256459,0.0,41766,74.7165,0.448472,0.0
29007,20924,71.0156,0.000258244,0.0,41798,74.3841,0.460562,0.0
29008,20934,71.0156,0.000255921,0.0,41818,74.5241,0.458937,0.0
29009,20924,71.0156,0.000256651,0.0,41798,74.5962,0.463413,0.0
29010,20942,71.0156,0.000255381,0.0,41834,74.5334,0.449564,0.0
29011,20926,71.0156,0.000255798,0.0,41802,74.5823,0.444064,0.0
29012,20933,71.0156,0.000255824,0.0,41816,74.6848,0.463441,0.0
29013,20940,71.0156,0.000255948,0.0,41830,74.39,0.459705,0.0
29014,20919,71.0156,0.000260008,0.0,41788,74.4993,0.449045,0.0
29015,20939,71.0156,0.000264482,0.0,41828,74.3344,0.457708,0.0
29016,20926,71.0156,0.000256527,0.0,41802,74.6802,0.444051,0.0
29017,20932,71.0156,0.00025619,0.0,41814,74.3139,0.460069,0.0
29018,20911,71.0156,0.000255428,0.0,41772,74.5415,0.455575,0.0
29019,20938,71.0156,0.000254319,0.0,41826,74.6014,0.453972,0.0
29020,20908,71.0156,0.000256296,0.0,41766,74.7627,0.450401,0.0
29021,20955,71.0156,0.000256538,0.0,41860,74.5247,0.459421,0.0
29022,20908,71.0156,0.000257849,0.0,41766,74.6771,0.460401,0.0
29023,20947,71.0156,0.000254392,0.0,41844,74.6098,0.45905,0.0
29024,20908,71.0156,0.000256272,0.0,41766,74.3687,0.462011,0.0
29025,20914,71.0156,0.000255964,0.0,41778,74.5773,0.456438,0.0
29026,20931,71.0156,0.000256863,0.0,41812,74.6721,0.446383,0.0
29027,20932,71.0156,0.000261163,0.0,41814,74.4898,0.45075,0.0
29028,20932,71.0156,0.00025774,0.0,41814,74.5451,0.448553,0.0
29029,20908,71.0156,0.000258053,0.0,41766,74.4084,0.455827,0.0
29030,20954,71.0156,0.00025577,0.0,41858,74.5966,0.456308,0.0
29031,20953,71.0156,0.000255338,0.0,41856,74.5669,0.460679,0.0
29032,20932,71.0156,0.000255352,0.0,41814,74.6969,0.466169,0.0
29033,20916,71.0156,0.000257054,0.0,41782,74.3317,0.452271,0.0
29034,20911,71.0156,0.000256785,0.0,41772,74.5095,0.462752,0.0
29035,20930,71.0156,0.00026052,0.0,41810,74.4843,0.443103,0.0
29036,20911,71.0156,0.000257066,0.0,41772,74.5358,0.453956,0.0
29037,20939,71.0156,0.000254855,0.0,41828,74.6161,0.448395,0.0
29038,20924,71.0156,0.000255,0.0,41798,74.5015,0.463875,0.0
29039,20945,71.0156,0.000254886,0.0,41840,74.5996,0.439703,0.0
29040,20912,71.0156,0.000255993,0.0,41774,74.447,0.460084,0.0
29041,20927,71.0156,0.000260001,0.0,41804,74.4242,0.448204,0.0
29042,20912,71.0156,0.000256794,0.0,41774,74.5219,0.471271,0.0
29043,20929,71.0156,0.000258215,0.0,41808,74.506,0.446094,0.0
29044,20915,71.0156,0.00026389,0.0,41780,74.5624,0.449186,0.0
29045,20927,71.0156,0.000258168,0.0,41804,74.2722,0.468977,0.0
29046,20925,71.0156,0.00025562,0.0,41800,74.6666,0.444402,0.0
29047,20921,71.0156,0.000256921,0.0,41792,74.4169,0.46731,0.0
29048,20938,71.0156,0.000255666,0.0,41826,74.6122,0.465353,0.0
29049,1728,71.0168,0.00272996,0.0144676,3070,71.799,0.398089,0.0136808
29050,2056,71.0166,0.00233698,0.00680934,3631,71.9284,0.400606,0.0110162
29051,2048,71.0167,0.00247694,0.0107422,3669,71.8149,0.404843,0.0106296
29052,2923,71.0162,0.00160429,0.00684229,5275,72.1261,0.415554,0.00625592
29053,2425,71.0164,0.00188865,0.011134,4344,72.0913,0.411655,0.00805709
29054,2243,71.0165,0.00203941,0.00980829,3988,72.0315,0.41178,0.00977934
29055,1838,71.0167,0.00256178,0.0130577,3260,71.833,0.40213,0.0113497
29056,2198,71.0165,0.00219488,0.00864422,3962,71.8303,0.399802,0.00908632
29057,2040,71.0167,0.00241996,0.00931373,3636,71.8152,0.399726,0.010451
29058,1955,71.0166,0.00233948,0.0102302,3482,71.8615,0.398095,0.0112005
29059,1681,71.0168,0.00277566,0.00416419,2991,71.7857,0.395394,0.0130391
29060,2577,71.0163,0.00168747,0.0131936,4450,72.1067,0.400382,0.00988764
29061,1976,71.0166,0.00238188,0.0106275,3531,71.8842,0.40546,0.009629
29062,2068,71.0164,0.00192014,0.0135397,3714,72.1202,0.409751,0.00969305
29063,2386,71.0164,0.00186248,0.00796312,4141,71.9871,0.397101,0.0111084
29064,1861,71.0168,0.00266269,0.0128963,3240,71.803,0.393944,0.0141975
29065,2410,71.0164,0.00190186,0.0120332,4141,72.5606,0.40702,0.0125574
29066,2224,71.0165,0.00211403,0.011241,4000,71.8969,0.405798,0.00925
29067,2331,71.0164,0.00200535,0.010725,4256,71.9675,0.412679,0.00634398
29068,1990,71.0166,0.00235862,0.00904523,3511,71.8194,0.39976,0.012532
29069,2052,71.0166,0.00240713,0.00974659,3600,71.9224,0.402329,0.0113889
29070,2301,71.0164,0.00183037,0.0121686,3989,72.1175,0.400044,0.010529
29071,1672,71.0168,0.00266909,0.0131579,3001,71.7906,0.40128,0.0113296
29072,1960,71.0166,0.00240111,0.0122449,3517,71.8189,0.403087,0.011089
29073,2032,71.0167,0.00243483,0.00984252,3661,71.8477,0.404216,0.00983338
29074,2118,71.0166,0.0022142,0.00897073,3640,72.0321,0.398038,0.0126374
29075,1958,71.0166,0.00239769,0.00970378,3417,71.8549,0.395689,0.0125841
29076,2470,71.0164,0.00184909,0.00769231,4317,72.1695,0.405338,0.0101923
29077,2332,71.0164,0.0019628,0.00857633,4092,72.0277,0.403944,0.0102639
29078,2454,71.0164,0.0019175,0.0110024,4305,71.9611,0.399054,0.0102207
29079,2070,71.0165,0.0022097,0.00821256,3533,71.9442,0.393357,0.0130201
29080,2248,71.0165,0.00209817,0.011121,3977,71.9812,0.40645,0.00854916
29081,2372,71.0164,0.00192287,0.00716695,4132,72.0574,0.401537,0.0111326
29082,2590,71.0163,0.00177191,0.0108108,4580,72.0235,0.405148,0.00895197
29083,2112,71.0165,0.00217524,0.0142045,3722,71.8851,0.402365,0.0110156
29084,2410,71.0164,0.00194595,0.00829876,4246,72.0896,0.407649,0.00942063
29085,2502,71.0164,0.00187936,0.0107914,4458,71.9519,0.404598,0.00874832
29086,2345,71.0164,0.00185542,0.0115139,4194,72.0995,0.409281,0.00858369
29087,1969,71.0166,0.00231971,0.0091417,3536,71.8236,0.401553,0.0110294
29088,2181,71.0165,0.0020382,0.00825309,3922,71.9374,0.405732,0.00968893
