Unnamed: 0,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter,TCPInputPloss
15610,1275,61.0404,0.0097597,0.0054902,2246,117.71,2.05813,0.0142476
15611,2236,61.0384,0.00584923,0.00849732,4028,122.353,1.41901,0.00620655
15612,1888,61.0389,0.00685319,0.00900424,3383,114.212,1.56693,0.00738989
15613,1744,61.0393,0.00761569,0.00573394,3097,117.058,1.70912,0.0100097
15614,1457,61.0398,0.00858523,0.0082361,2611,117.629,1.81292,0.00957488
15615,2154,61.0386,0.00620553,0.0116063,3709,128.44,1.52233,0.00889728
15616,1780,61.039,0.00714767,0.00842697,3097,131.192,1.67002,0.0103326
15617,1522,61.0396,0.00820205,0.00985545,2682,118.599,1.90912,0.0111857
15618,1573,61.0394,0.0078195,0.0114431,2798,115.06,1.65021,0.0107219
15619,1674,61.0393,0.00754286,0.0113501,2995,113.912,1.57909,0.0096828
15620,1548,61.0396,0.00815314,0.00904393,2728,115.635,1.78743,0.0113636
15621,1654,61.0394,0.00775463,0.0102781,2986,115.826,1.7207,0.0087073
15622,1458,61.0399,0.00874589,0.00891632,2559,117.227,1.96829,0.0128957
15623,1591,61.0394,0.00778424,0.00817096,2835,115.651,1.73347,0.010582
15624,1708,61.0391,0.0072458,0.00526932,3054,113.571,1.71808,0.0101506
15625,1677,61.0392,0.00749768,0.00894454,3005,117.517,1.75577,0.0093178
15626,1499,61.0398,0.00851301,0.00733823,2614,114.696,1.9343,0.0126243
15627,1671,61.0393,0.00768269,0.005386,2978,117.077,1.75495,0.00940228
15628,2017,61.0388,0.00661979,0.00941993,3643,120.408,1.51946,0.00741147
15629,1838,61.0389,0.00696373,0.00870511,3267,117.038,1.6192,0.00887665
15630,1595,61.0394,0.007849,0.0119122,2871,115.734,1.76896,0.00940439
15631,1824,61.0389,0.00673079,0.00822368,3251,114.169,1.61151,0.00922793
