Unnamed: 0,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter,TCPInputPloss
20070,2921,41.0233,0.00300325,0.0,5311,123.371,1.07132,0.0105442
20071,2885,41.0234,0.00319456,0.0,5264,122.959,1.11116,0.00987842
20072,4562,41.0228,0.00210121,0.0,8471,122.734,0.827874,0.00377759
20073,6181,41.0225,0.00150649,0.0,11977,122.001,0.715084,0.00108541
20074,5696,41.0227,0.00173412,0.0,10641,123.42,0.756281,0.00601447
20075,5288,41.0227,0.00181727,0.0,9982,123.635,0.76283,0.00320577
20076,5080,41.0227,0.00188809,0.0,9295,122.02,0.777976,0.00559441
20077,5213,41.0227,0.0017873,0.0,9942,123.803,0.787736,0.00523034
20078,3928,41.023,0.00233841,0.0,7329,123.856,0.899019,0.0152818
20079,4149,41.0229,0.00225673,0.0,7779,123.25,0.869271,0.00372799
20080,4127,41.0229,0.00240816,0.00775382,7465,42.9521,0.487431,0.00843938
20081,4127,41.0229,0.00234595,0.00823843,7340,43.659,0.471865,0.00912807
20082,3545,41.0231,0.00274559,0.0101551,6367,42.6804,0.492096,0.0111512
20083,4079,41.0229,0.00243055,0.00956117,7075,43.199,0.482492,0.0113074
20084,3062,41.0233,0.00307629,0.0101241,5516,42.9678,0.481127,0.0103336
20085,3775,41.023,0.00250112,0.00874172,6624,42.7122,0.468903,0.0111715
20086,3853,41.023,0.00244512,0.00648845,7006,42.7185,0.482457,0.00927776
20087,3753,41.023,0.00252738,0.0119904,6653,42.5987,0.468621,0.0100706
20088,4594,41.0228,0.00209239,0.00870701,7912,43.4163,0.464554,0.010364
20089,3715,41.023,0.00261322,0.00753701,6689,42.6408,0.474081,0.00911945
20090,3762,41.0231,0.00266132,0.00930356,6765,43.1528,0.470176,0.00916482
20091,2567,41.0234,0.00342114,0.0198675,4339,42.2064,0.416414,0.0209726
20092,2584,41.0233,0.00323342,0.0205108,4492,42.0596,0.408881,0.0189225
20093,2221,41.0236,0.00377349,0.0189104,3870,42.2046,0.428192,0.0222222
20094,2236,41.0237,0.00391995,0.0174419,3851,42.1336,0.414601,0.0220722
20095,2478,41.0235,0.00359777,0.0149314,4124,42.1236,0.402962,0.0225509
20096,2595,41.0234,0.00341884,0.0223507,4503,42.0996,0.42308,0.0168776
20097,2550,41.0234,0.00334894,0.0231373,4372,42.0824,0.411725,0.0192132
20098,2336,41.0236,0.0037504,0.0184075,3974,42.1049,0.413627,0.0203825
20099,2661,41.0234,0.0033376,0.0210447,4546,42.2442,0.420035,0.0186978
20100,2420,41.0234,0.00342749,0.0219008,4079,42.1771,0.425122,0.0193675
20101,2140,41.0237,0.00400386,0.0238318,3765,42.1325,0.428704,0.0177955
20102,2611,41.0233,0.00323223,0.0191498,4540,42.1131,0.419677,0.0193833
20103,2447,41.0235,0.0035562,0.0143032,4251,42.0805,0.413826,0.0211715
20104,2779,41.0233,0.00318632,0.0190716,4753,42.2252,0.414716,0.0178834
20105,2714,41.0233,0.00318717,0.0176861,4474,42.3802,0.41298,0.0185516
20106,2528,41.0235,0.00352969,0.0138449,4208,42.1345,0.420687,0.0230513
20107,2190,41.0236,0.00376412,0.0228311,3673,42.1937,0.411497,0.0250476
20108,1651,41.0241,0.00484359,0.0187765,2763,42.1184,0.417625,0.0282302
20109,2468,41.0234,0.00348923,0.0149919,4237,42.1297,0.416031,0.0205334
