Unnamed: 0,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter,TCPInputPloss
64670,13327,11.0155,0.000450721,0.00975463,23865,11.7712,0.379804,0.00959564
64671,14239,11.0155,0.000432608,0.0121497,25733,11.7535,0.383172,0.00913224
64672,13713,11.0155,0.000432287,0.0096259,24674,11.7706,0.381218,0.00964578
64673,13489,11.0155,0.000447229,0.00911854,23830,11.8783,0.380012,0.0105329
64674,13522,11.0155,0.000437816,0.00917024,24324,11.7673,0.381401,0.00945568
64675,13567,11.0155,0.000449652,0.00840274,24285,11.7388,0.37928,0.0101709
64676,14035,11.0155,0.000432272,0.0106163,24967,11.7817,0.379136,0.00993311
64677,13878,11.0155,0.000444856,0.0094394,24973,11.7603,0.382071,0.00977055
64678,13249,11.0155,0.000454523,0.0103404,23763,11.7756,0.380876,0.00942642
64679,15074,11.0155,0.000400844,0.00915484,27066,11.7985,0.383688,0.00857164
64680,13176,11.0155,0.000466706,0.0104736,23469,11.7696,0.378919,0.0102263
64681,13702,11.0155,0.000449384,0.00977959,24359,11.8601,0.380923,0.00935999
64682,12258,11.0155,0.000489368,0.00881057,21625,11.787,0.376847,0.0115145
64683,13351,11.0155,0.00044203,0.0115347,23527,11.7935,0.377835,0.0101585
64684,12656,11.0155,0.00048291,0.0101928,22447,11.7964,0.378731,0.0111373
64685,13912,11.0155,0.000435062,0.00984761,24775,11.7753,0.379245,0.0104137
64686,14792,11.0155,0.000417668,0.00973499,26237,11.8888,0.381813,0.00983344
64687,13422,11.0155,0.000445799,0.00908955,23995,11.7738,0.380063,0.0091269
64688,13655,11.0155,0.000434133,0.00959356,24251,11.8031,0.378958,0.00973156
64689,14013,11.0155,0.000426104,0.0113466,24714,11.8927,0.379077,0.0104394
64690,13396,11.0155,0.000459264,0.0100776,23839,11.7583,0.379167,0.0104451
64691,13100,11.0155,0.000460475,0.00938931,23279,11.7805,0.378517,0.00979424
64692,12923,11.0155,0.000460324,0.00967268,23139,11.7861,0.381872,0.00981028
