Unnamed: 0,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter,TCPInputPloss
6690,2169,61.0219,0.00276037,0.0087598,3877,62.0544,0.41403,0.0118648
6691,2225,61.0219,0.00282822,0.0094382,3988,62.0237,0.408441,0.0110331
6692,2526,61.0217,0.00239235,0.00989707,4521,62.048,0.408815,0.00951117
6693,2566,61.0218,0.00243283,0.00896337,4469,62.033,0.400499,0.0127545
6694,2483,61.0218,0.00261218,0.0144986,4406,62.0321,0.411133,0.0102133
6695,2275,61.022,0.00284806,0.00923077,3948,62.0402,0.401037,0.0134245
6696,2571,61.0218,0.00244998,0.0112797,4558,62.0835,0.413227,0.0100921
6697,1598,61.0227,0.00434044,0.0150188,2696,61.9369,0.387608,0.023368
6698,1695,61.0225,0.00401147,0.0212389,2950,61.9666,0.402522,0.0179661
6699,1353,61.0232,0.00515784,0.0192166,2298,61.9602,0.394368,0.0226284
6700,1830,61.0223,0.00343964,0.0196721,3203,61.9035,0.393467,0.0168592
6701,1904,61.0222,0.0034235,0.0278361,3265,61.9942,0.402963,0.0192956
6702,1794,61.0225,0.00383647,0.0239688,3089,61.975,0.398067,0.0194238
6703,1537,61.0227,0.00425451,0.0279766,2687,61.9575,0.400762,0.0193524
6704,2104,61.0223,0.00345855,0.0152091,3687,62.3827,0.417242,0.0151885
6705,1851,61.0223,0.0036058,0.0210697,3160,62.0219,0.399035,0.0205696
6706,1802,61.0224,0.00382858,0.0144284,3083,62.0889,0.41056,0.0178398
6707,1323,61.0229,0.00475302,0.0181406,2315,61.9111,0.393944,0.0220302
6708,1653,61.0224,0.00369797,0.0163339,2798,61.9619,0.393103,0.0221587
6709,1442,61.0227,0.00435463,0.0166436,2405,61.9386,0.379498,0.0257796
6710,1701,61.0225,0.00409729,0.0182246,2921,61.9757,0.4014,0.0178021
6711,2148,61.0221,0.00320404,0.0265363,3736,62.0828,0.412019,0.0139186
6712,1885,61.0224,0.00379713,0.0212202,3190,61.9428,0.392377,0.0184953
6713,1671,61.0225,0.00397368,0.0221424,2868,61.9739,0.397116,0.0205718
6714,1630,61.0226,0.00417767,0.0226994,2710,61.91,0.377781,0.0214022
6715,1344,61.0229,0.00466474,0.014881,2325,61.9159,0.395752,0.0223656
6716,1483,61.0229,0.00473191,0.0249494,2518,61.9264,0.390519,0.0214456
6717,1796,61.0225,0.00385343,0.0144766,3105,62.0009,0.403878,0.0193237
6718,7327,71.0211,0.00102645,0.0,14359,127.291,0.735131,0.000348214
6719,8294,71.021,0.000854146,0.0,16320,128.004,0.69025,0.003125
6720,9861,71.0209,0.000693103,0.0,19260,129.19,0.65273,0.000623053
