Unnamed: 0,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter,TCPInputPloss
0,3451,1.04339,0.00381961,0.0,6618,303.004,1.99269,0.00317316
1,3918,1.04333,0.00368674,0.0,7519,304.094,1.75804,0.00226094
2,4833,1.04291,0.00286016,0.0,9474,301.391,1.47002,0.00147773
3,9195,1.0422,0.00142943,0.0,18148,291.969,1.16039,0.000165307
4,5766,1.04259,0.00221989,0.0,11144,302.531,1.48683,0.00197416
5,4917,1.0429,0.00283284,0.0,9398,287.053,1.47052,0.0075548
6,2151,1.04439,0.00581151,0.0,3953,303.158,2.78877,0.0073362
7,2642,1.04379,0.00460694,0.0,4933,306.949,2.34849,0.00608149
8,5492,1.04269,0.00240949,0.0,10640,300.199,1.5109,0.0012218
9,4682,1.04289,0.00280342,0.0,9092,297.988,1.66505,0.000439947
10,3643,1.04338,0.00379706,0.0,6855,306.203,1.8062,0.00437637
11,5036,1.04293,0.00289567,0.0103257,8894,62.3874,1.13552,0.0102316
12,5239,1.0428,0.00263074,0.00706242,9240,64.4328,1.12615,0.00984848
13,4683,1.04297,0.00296643,0.00811446,8219,62.88,1.18126,0.0128969
14,4909,1.04297,0.00297729,0.0120187,8555,62.1747,1.15783,0.0111046
15,5308,1.04286,0.00275234,0.0122457,9465,61.9557,1.13079,0.00993133
16,4574,1.04304,0.00310782,0.0080892,8162,62.9427,1.16847,0.0106592
17,4908,1.04286,0.00277062,0.00977995,8883,62.6669,1.15243,0.00990656
18,5095,1.04288,0.00279918,0.0100098,9147,60.7738,1.13539,0.0100579
19,4969,1.04295,0.00293604,0.0106661,8984,61.2882,1.12717,0.00957257
20,5113,1.04281,0.00265446,0.00801878,9226,62.3327,1.12236,0.00921309
21,4789,1.04283,0.0026966,0.0087701,8654,63.0046,1.14041,0.0106309
22,4007,11.0431,0.00320326,0.0,7788,310.739,1.64918,0.00282486
23,3184,11.0433,0.00361745,0.0,6161,281.195,1.96553,0.00178542
24,4037,11.0432,0.00349529,0.0,7756,299.79,1.70399,0.00167612
25,4434,11.043,0.00312913,0.0,8490,288.086,1.55071,0.00106007
26,5399,11.0428,0.00255492,0.0,10423,305.806,1.49124,0.00278231
27,3567,11.0432,0.00340303,0.0,6832,307.427,1.90309,0.00322014
28,3932,11.0431,0.0031799,0.0,7491,301.13,1.78555,0.00547323
29,4425,11.0431,0.00328975,0.0,8471,304.267,1.67113,0.00247905
30,2638,11.0439,0.00484694,0.0,5119,294.766,2.216,0.000781403
31,5299,11.0428,0.00267852,0.0,10243,306.384,1.42656,0.00234306
32,9485,11.0422,0.00138561,0.0,18704,287.279,1.1828,0.000267322
33,5053,11.0428,0.0026165,0.00653077,9078,50.9628,1.14297,0.00980392
34,5081,11.0428,0.00265134,0.00865971,9245,51.4573,1.15312,0.00876149
35,4621,11.0429,0.0028044,0.00930535,8237,50.7393,1.17126,0.0110477
36,4893,11.0428,0.00271686,0.012058,8630,51.982,1.1064,0.0103129
37,5181,11.0428,0.00254036,0.0104227,9227,51.4547,1.12522,0.0105126
38,4067,11.0431,0.0031805,0.0105729,7254,50.7678,1.22415,0.0128205
39,5185,11.0428,0.0025633,0.0119576,9180,52.5947,1.11304,0.00958606
40,4690,11.0429,0.00282872,0.0102345,8336,52.4781,1.13724,0.0109165
41,5109,11.0428,0.00266005,0.00919945,9097,51.8045,1.12506,0.00978345
42,5613,11.0426,0.00224063,0.00766079,10034,49.9157,1.08555,0.00936815
43,4956,11.0428,0.0026738,0.00867635,8842,51.0816,1.15248,0.0114228
44,4911,11.0431,0.00313619,0.0207697,8308,29.3884,1.12028,0.0205826
45,4884,11.0431,0.0031786,0.015561,8307,30.2762,1.13635,0.020585
46,5312,11.0429,0.00294548,0.0180723,9035,29.8923,1.09472,0.0204759
47,5875,11.0428,0.00260046,0.0188936,10098,29.4881,1.06073,0.0174292
48,4950,11.043,0.00306418,0.0185859,8360,29.038,1.16239,0.0228469
49,5092,11.043,0.00312729,0.0180676,8654,30.0675,1.13944,0.0207996
50,5548,11.0429,0.00275187,0.017664,9213,29.8887,1.09105,0.0199718
51,5709,11.0428,0.00268185,0.0196181,9720,28.6777,1.09182,0.0193416
52,4666,11.0432,0.00335875,0.0197171,7987,30.1512,1.13466,0.0207838
53,4940,11.0431,0.00318031,0.0188259,8585,29.321,1.14087,0.0205009
54,5069,11.043,0.00297141,0.019925,8632,30.6219,1.08401,0.0181881
55,6081,1.04275,0.00253805,0.0159513,10180,38.6612,1.05789,0.0182711
56,5274,1.043,0.00304531,0.0191505,8954,37.0021,1.11944,0.019656
57,4992,1.04296,0.00295128,0.0202324,8502,38.4841,1.09168,0.0208186
58,5499,1.04291,0.00284211,0.0192762,9239,37.9517,1.08964,0.0220803
59,4304,1.04326,0.00355295,0.0204461,7454,38.4874,1.14973,0.0203917
60,4927,1.04306,0.00317266,0.0215141,8424,38.948,1.10753,0.0187559
61,4258,1.04324,0.00350773,0.0171442,7081,39.0762,1.14098,0.0218896
62,5446,1.04295,0.00293902,0.0222181,9326,38.2288,1.11995,0.018872
63,5806,1.0429,0.00283223,0.0168791,9824,37.557,1.10475,0.0200529
64,5714,1.0428,0.00263543,0.0154008,9633,39.0601,1.0585,0.0208658
65,5257,1.043,0.00297393,0.0194027,8806,38.4564,1.11081,0.0200999
66,2447,21.0446,0.00616964,0.0,4649,292.03,2.80828,0.0017208
67,5300,21.0429,0.00291073,0.0,10217,300.036,1.6183,0.00332779
68,3229,21.044,0.00496439,0.0,6222,292.251,2.1456,0.00096432
69,6340,21.0426,0.00228016,0.0,12356,283.711,1.45743,0.000242797
70,4012,21.0434,0.00392515,0.0,7688,304.465,1.85391,0.00338189
71,4775,21.0431,0.00331285,0.0,9227,301.195,1.77525,0.00108378
72,4054,21.0436,0.00414337,0.0,7794,296.313,1.82585,0.00551706
73,6490,21.0427,0.00243457,0.0,12524,283.338,1.44809,0.000638774
74,3967,21.0434,0.00391682,0.0,7615,303.355,1.89751,0.00328299
75,3533,21.0437,0.00452226,0.0,6796,297.529,2.0011,0.00176574
76,6161,21.0428,0.00256802,0.0,12136,264.342,1.4737,0.000164799
77,4798,21.0429,0.00282514,0.00750313,8580,42.2316,1.11075,0.0111888
78,5144,21.0428,0.00270685,0.0103033,9255,41.9646,1.08471,0.0103728
79,4901,21.043,0.00301217,0.00897776,8744,42.5436,1.10686,0.00972095
80,5231,21.0428,0.00262057,0.00745555,9304,42.3159,1.10512,0.0106406
81,4734,21.0428,0.00273358,0.0101394,8527,42.3766,1.11439,0.0103202
82,5278,21.0429,0.00280534,0.0121258,9440,41.7646,1.06727,0.0095339
83,5029,21.0429,0.00283037,0.00874925,9056,43.0984,1.10681,0.00971731
84,4782,21.0429,0.00281115,0.00857382,8622,42.9977,1.09054,0.0103224
85,4879,21.0429,0.00285353,0.010043,8793,43.3459,1.12694,0.010008
86,4403,21.0431,0.0032404,0.0111288,7982,43.0218,1.14527,0.0105237
87,4433,21.043,0.00299149,0.00969998,7965,43.2309,1.10852,0.0115505
88,4378,21.0433,0.0035869,0.0182732,7660,25.558,0.979157,0.0184073
89,4186,21.0433,0.00363464,0.0174391,7121,25.1772,0.997114,0.0244348
90,4280,21.0433,0.00366913,0.0186916,7374,25.6607,0.99266,0.0211554
91,4989,21.0431,0.00319698,0.0196432,8535,25.9575,0.953959,0.0183948
92,4382,21.0433,0.00357607,0.0159744,7435,26.3429,0.988993,0.0215198
93,4228,21.0433,0.00355242,0.0179754,7292,25.4647,0.975597,0.0212562
94,4580,21.0431,0.00320963,0.0183406,7739,26.3961,0.961249,0.0189947
95,4505,21.0433,0.00353782,0.0206437,7571,25.7362,0.99435,0.0204729
96,5217,21.043,0.00305068,0.0164846,8940,25.7604,0.929144,0.0165548
97,4525,21.0433,0.00354315,0.0181215,7857,25.2793,0.972098,0.0204913
98,4646,21.0431,0.00329105,0.0191563,7714,26.1258,0.958769,0.0219082
99,2603,31.0445,0.00595336,0.0,4986,306.278,2.90785,0.00902527
100,4907,31.0431,0.00329706,0.0,9402,305.776,1.78783,0.00138268
101,5989,31.0428,0.00253525,0.0,11760,304.995,1.66317,0.00042517
102,2452,31.0446,0.00614056,0.0,4483,303.02,3.10548,0.00423823
103,7243,31.0425,0.00210092,0.0,14283,309.712,1.43975,7e-05
104,5770,31.0429,0.00273898,0.0,11232,303.493,1.5919,0.000890313
105,5895,31.0429,0.0027359,0.0,11471,307.331,1.57359,0.00095894
106,3020,31.044,0.0051069,0.0,5576,298.005,2.6095,0.0026901
107,5975,31.0428,0.00265096,0.0,11629,308.37,1.59706,0.000343968
108,2358,31.0446,0.00614253,0.0,4475,308.908,3.24213,0.0185475
109,4100,31.0434,0.00377928,0.0,7954,306.823,1.998,0.00113151
110,5140,31.043,0.00294848,0.00914397,9083,35.9139,0.951347,0.00968843
111,3213,31.0437,0.00446054,0.0155618,5568,33.259,0.828592,0.0201149
