Unnamed: 0,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter,TCPInputPloss
62440,1636,41.0274,0.00459258,0.0,2891,168.34,1.4999,0.0131442
62441,1535,41.0274,0.00457601,0.0,2655,168.397,1.69226,0.0173258
62442,2723,41.0266,0.00307351,0.0,4859,171.151,1.04433,0.0102902
62443,1667,41.0273,0.0044555,0.0,2869,168.582,1.5952,0.0233531
62444,1874,41.0272,0.00417466,0.0,3295,170.34,1.42895,0.0139605
62445,3141,41.0263,0.00248592,0.0,5578,165.567,1.00892,0.0100394
62446,1704,41.0275,0.00472684,0.0,3033,170.054,1.49147,0.019123
62447,1534,41.0274,0.00472,0.0,2607,168.808,1.67212,0.0291523
62448,1782,41.0272,0.00418947,0.0,3063,170.06,1.50194,0.0202416
62449,2492,41.0267,0.003167,0.0,4369,169.557,1.16597,0.016022
62450,2551,41.0266,0.00307994,0.0,4485,164.227,1.1849,0.0122631
62451,1641,41.0272,0.00423107,0.0,2762,171.684,1.57865,0.0369298
62452,1860,41.027,0.00382373,0.0,3386,172.659,1.38349,0.0103367
62453,2191,41.0269,0.00366914,0.0,3995,172.602,1.28707,0.0212766
62454,2024,41.027,0.00383073,0.0,3502,170.805,1.44188,0.0245574
62455,1775,41.027,0.00383745,0.0,3007,169.217,1.51452,0.0279348
62456,2391,41.0267,0.0032673,0.0,4290,171.847,1.16344,0.0104895
62457,1884,41.0268,0.00353835,0.0,3219,168.545,1.49522,0.0298229
62458,1764,41.0272,0.00426783,0.0,3138,171.736,1.45759,0.0130656
62459,1535,41.0277,0.00522487,0.0,2644,171.174,1.68973,0.0234493
62460,1249,41.0278,0.00551979,0.0,2178,171.811,1.89509,0.0261708
62461,1561,41.0274,0.0046263,0.0,2724,167.756,1.66412,0.0279001
62462,2787,41.0265,0.00285083,0.0,4805,170.908,1.11006,0.0247659
62463,1654,41.0274,0.00458415,0.0,2932,169.648,1.56699,0.0170532
62464,1777,41.0272,0.00420737,0.0,3180,172.367,1.43183,0.0166667
62465,1066,41.0281,0.00611043,0.0,1899,171.525,2.05253,0.0179042
62466,2140,41.027,0.00379784,0.0,3836,171.183,1.27916,0.0104275
62467,1887,41.027,0.00392184,0.0,3265,171.115,1.44694,0.0294028
62468,1539,41.0276,0.00507154,0.00909682,2712,132.14,1.28156,0.0129056
62469,1699,41.0275,0.00496195,0.00824014,2982,131.827,1.25759,0.0130785
62470,2185,41.0269,0.00371187,0.00869565,3770,129.72,1.11951,0.0137931
62471,1782,41.0273,0.00440239,0.0106622,3198,131.778,1.14704,0.00906817
62472,1763,41.0274,0.00469927,0.00850822,3118,131.066,1.25375,0.0179602
62473,2200,41.0269,0.00360174,0.00863636,3845,132.405,1.06386,0.0083225
62474,1662,41.0275,0.00487481,0.00421179,2959,130.521,1.24817,0.0111524
62475,2388,41.0268,0.00339027,0.00921273,4221,129.99,1.00129,0.0130301
62476,2014,41.0269,0.00373832,0.0134062,3684,132.995,1.11604,0.00732899
62477,1702,41.0273,0.00454125,0.00705053,3023,130.671,1.26702,0.0119087
62478,1719,41.0273,0.00443113,0.0069808,3102,130.837,1.18796,0.0103159
62479,1730,41.0273,0.0045072,0.00578035,3038,131.786,1.20635,0.0128374
62480,1843,41.0272,0.00428984,0.00922409,3287,131.353,1.16712,0.00912686
62481,1907,41.0272,0.00421939,0.0110121,3389,131.727,1.13953,0.00914724
62482,1893,41.0271,0.00397264,0.00845219,3291,131.883,1.16764,0.0106351
62483,1791,41.0273,0.00437989,0.00502513,3198,130.327,1.19081,0.0100063
62484,1708,41.0275,0.0048786,0.0111241,3058,128.959,1.21374,0.0111184
62485,1925,41.0272,0.00426925,0.00571429,3458,129.257,1.10305,0.0092539
62486,1579,41.0275,0.00492856,0.0113996,2810,130.798,1.25828,0.0103203
62487,1869,41.0271,0.00409906,0.00963082,3349,131.674,1.12695,0.0086593
62488,1534,41.0275,0.00495215,0.011734,2744,130.38,1.30438,0.0123907
62489,1522,41.0277,0.00531516,0.00919842,2660,127.408,1.30248,0.012406
62490,1712,41.0274,0.00458511,0.00817757,3062,130.655,1.23769,0.00979752
62491,1815,41.0272,0.00429694,0.00991736,3276,130.54,1.05198,0.00854701
62492,1338,41.0276,0.0050572,0.00747384,2387,131.478,1.39886,0.012987
62493,1974,41.0272,0.00420653,0.0106383,3566,130.708,1.15882,0.00841279
