Unnamed: 0,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter,TCPInputPloss
42370,2755,61.0203,0.00209277,0.0101633,4839,63.6602,0.443597,0.0101261
42371,2187,61.0206,0.00263101,0.0109739,3923,62.1052,0.421386,0.010961
42372,2952,61.0203,0.00202236,0.0115176,5264,62.987,0.450152,0.0087386
42373,2332,61.0207,0.00275525,0.00814751,4150,62.2326,0.442802,0.0115663
42374,2445,61.0205,0.00242797,0.0106339,4392,64.5619,0.453277,0.0100182
42375,2345,61.0205,0.00250774,0.00938166,4250,62.2324,0.446434,0.00917647
42376,2510,61.0205,0.00241584,0.00876494,4450,62.4159,0.442515,0.0116854
42377,2311,61.0206,0.00256179,0.00778884,4180,62.2538,0.445304,0.0105263
42378,2444,61.0206,0.00261478,0.00900164,4419,62.1979,0.448872,0.009957
42379,3243,61.0202,0.00183202,0.0135677,5865,63.2419,0.443398,0.00630861
42380,2385,61.0205,0.0024224,0.00964361,4336,62.1799,0.451094,0.00899446
42381,2752,61.0204,0.00223149,0.0123547,4927,62.5139,0.435739,0.00913335
42382,2396,61.0206,0.00254123,0.0104341,4358,62.2911,0.457763,0.00940799
42383,2846,61.0204,0.00218121,0.012298,5083,62.7302,0.446214,0.00944324
42384,2603,61.0204,0.00227981,0.0107568,4594,62.3465,0.429569,0.00914236
42385,2693,61.0203,0.00199175,0.0129967,4806,62.3351,0.425965,0.0093633
42386,2672,61.0204,0.00224582,0.0101048,4658,63.6276,0.45476,0.0105195
42387,3109,61.0202,0.00192401,0.0122226,5582,62.7616,0.437958,0.00841992
42388,2331,61.0206,0.00257011,0.011154,4127,62.3574,0.435897,0.0111461
42389,2428,61.0205,0.00244657,0.00741351,4401,62.1925,0.439693,0.00931606
42390,2894,61.0203,0.00199314,0.00725639,5094,63.5812,0.449792,0.00903023
42391,2648,61.0204,0.00229362,0.0086858,4804,62.237,0.439055,0.00811823
42392,2614,61.0204,0.00222017,0.0110941,4646,62.2416,0.432838,0.00860956
42393,2444,61.0205,0.00244798,0.0167758,4434,62.274,0.465142,0.00924673
42394,2468,61.0205,0.00247189,0.01094,4492,62.1189,0.433974,0.00845948
42395,2815,61.0203,0.00207973,0.0113677,5021,63.5746,0.448168,0.00856403
42396,2422,61.0205,0.00240046,0.0107349,4237,63.7882,0.435548,0.0108567
42397,2449,61.0205,0.00234703,0.00857493,4429,64.1493,0.437068,0.0101603
42398,2836,61.0204,0.00217674,0.0116361,5161,62.4198,0.434448,0.00755668
42399,2778,61.0203,0.00211943,0.0104392,5031,63.3755,0.443814,0.00874578
42400,2623,61.0204,0.00226053,0.0118185,4631,62.3708,0.438822,0.00906932
42401,2271,61.0206,0.00255299,0.00748569,4020,63.1649,0.44756,0.00995025
42402,2610,61.0204,0.00229837,0.010728,4600,63.1465,0.448052,0.01
42403,2304,61.0206,0.00268835,0.0130208,4169,62.3088,0.458617,0.00983449
42404,2190,61.0207,0.00275729,0.0141553,3827,62.2074,0.444038,0.0122812
42405,2543,61.0205,0.00240015,0.0129768,4580,62.3437,0.449596,0.00960699
42406,2391,61.0206,0.00260942,0.0108741,4270,62.2043,0.447378,0.0107728
42407,3064,61.0203,0.00207104,0.0133812,5518,62.3828,0.442868,0.0079739
42408,2127,61.0208,0.00295406,0.00987306,3697,62.1203,0.417984,0.0129835
42409,2584,61.0204,0.0021608,0.00851393,4536,63.6716,0.446683,0.0101411
42410,3162,61.0203,0.00198028,0.00695762,5593,62.9232,0.440253,0.00858216
42411,2450,61.0205,0.00248964,0.00979592,4311,62.3418,0.440668,0.0115982
42412,2675,61.0204,0.00222449,0.00897196,4681,62.8739,0.444923,0.0100406
42413,2614,61.0205,0.00233657,0.00841622,4814,62.239,0.43317,0.00706273
42414,2672,61.0204,0.00217725,0.00935629,4735,63.0788,0.451608,0.0092925
42415,2582,61.0204,0.00217649,0.00619675,4531,64.9167,0.460638,0.0101523
42416,1642,61.0214,0.00419606,0.0152253,2885,62.0033,0.420198,0.0169844
42417,1520,61.0216,0.00458472,0.0190789,2612,61.9731,0.41602,0.0199081
42418,1647,61.0213,0.00408151,0.0194293,2809,62.0005,0.404394,0.0206479
42419,1919,61.0212,0.00375576,0.0218864,3273,62.0902,0.417568,0.0198595
42420,1648,61.0213,0.00402148,0.0200243,2853,61.9541,0.404901,0.0185769
42421,1858,61.0211,0.00368635,0.0188375,3151,61.9973,0.406106,0.0180895
42422,1535,61.0214,0.00420367,0.0254072,2629,61.9659,0.408028,0.0205401
42423,1420,61.0217,0.00484815,0.0197183,2424,61.9248,0.406735,0.0231023
42424,1693,61.0213,0.00412734,0.0171294,2836,61.971,0.404072,0.0208039
42425,1842,61.0213,0.00395244,0.0233442,3191,62.0195,0.418928,0.017236
42426,1705,61.0214,0.00414542,0.0222874,2935,62.0064,0.41136,0.0177172
