Unnamed: 0,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter,TCPInputPloss
60210,1320,71.018,0.00400151,0.0166667,2247,71.8281,0.385895,0.0226969
60211,1402,71.018,0.00398067,0.0249643,2415,71.8586,0.397526,0.0202899
60212,1120,71.0185,0.00488038,0.0267857,1915,71.7904,0.398346,0.0229765
60213,1609,71.0178,0.00353112,0.0186451,2699,71.835,0.386929,0.0203779
60214,1315,71.0181,0.00414662,0.0243346,2263,71.804,0.393592,0.0212108
60215,1653,71.0177,0.00350366,0.0145191,2890,71.9175,0.405588,0.015917
60216,1488,71.0179,0.00373773,0.0194892,2555,71.8307,0.394016,0.0183953
60217,1442,71.0179,0.0038537,0.017337,2456,71.8352,0.39137,0.0203583
60218,1582,71.0178,0.00352193,0.0202276,2710,71.8597,0.394558,0.0166052
60219,1621,71.0177,0.00335048,0.0209747,2833,71.8093,0.397312,0.0176491
60220,1341,71.0179,0.0038398,0.0141685,2322,71.8312,0.395502,0.0211025
60221,1607,71.0176,0.0031443,0.0217797,2785,71.8156,0.392901,0.0165171
60222,1319,71.018,0.00402078,0.0197119,2301,71.8599,0.396854,0.0199913
60223,1609,71.0176,0.00321936,0.0211311,2799,71.8477,0.400017,0.0160772
60224,1511,71.0177,0.00343372,0.0231635,2614,71.9695,0.404799,0.017215
60225,1480,71.0177,0.00332931,0.0216216,2529,71.83,0.388901,0.0221431
60226,1112,71.0182,0.00441496,0.0197842,1912,71.7874,0.392501,0.0219665
60227,1436,71.0177,0.00335204,0.0264624,2463,71.8355,0.391085,0.0235485
60228,1538,71.0176,0.00327853,0.0182055,2609,72.1138,0.400181,0.0214642
60229,1407,71.0179,0.0038693,0.0234542,2441,71.8629,0.402854,0.0172061
60230,1947,71.0171,0.00218529,0.0159219,3224,72.2242,0.400195,0.0173697
60231,1673,71.0173,0.00271924,0.0203228,2808,72.1018,0.400662,0.0192308
60232,1471,71.0175,0.00297137,0.0135962,2484,71.8144,0.378902,0.0245572
60233,1795,71.0173,0.00259744,0.0194986,2954,72.0644,0.386517,0.0203114
60234,1621,71.0175,0.00302643,0.0185071,2805,71.822,0.394117,0.0171123
60235,1390,71.0177,0.00345505,0.0223022,2402,71.7791,0.388308,0.0187344
60236,1295,71.0177,0.00347907,0.0146718,2207,71.7972,0.387361,0.021749
60237,1472,71.0176,0.00315651,0.0190217,2502,71.9363,0.393952,0.0171863
60238,1467,71.0176,0.00317012,0.0197682,2504,71.8215,0.386936,0.0223642
60239,1450,71.0175,0.00311142,0.017931,2410,71.8085,0.376612,0.0244813
60240,1538,71.0175,0.00302008,0.0162549,2695,71.8388,0.395067,0.0155844
60241,1220,71.0177,0.00339635,0.0204918,2116,71.8109,0.392816,0.0231569
60242,1616,71.0175,0.00304033,0.0173267,2742,71.9371,0.392734,0.0178702
60243,1468,71.0177,0.00333282,0.0163488,2497,71.7797,0.382961,0.0228274
60244,1454,71.0177,0.00348525,0.0206327,2489,71.779,0.386251,0.0220972
60245,1543,71.0175,0.00310352,0.0200907,2634,71.8152,0.386375,0.0193622
60246,14485,1.01585,0.000397875,0.0,25584,17.6287,0.39569,0.0186836
60247,16397,1.01582,0.000351442,0.0,28917,17.7865,0.397149,0.0149739
60248,14477,1.01584,0.000399721,0.0,25394,17.7819,0.399651,0.0188233
60249,13230,1.01586,0.000444641,0.0,23461,17.6861,0.396401,0.0194791
60250,14637,1.01584,0.000392815,0.0,25853,17.6544,0.397467,0.0174448
60251,16513,1.01582,0.000356908,0.0,29308,17.934,0.397336,0.0167872
60252,14035,1.01585,0.000417875,0.0,24575,17.6694,0.397554,0.021648
60253,14893,1.01583,0.000384839,0.0,25923,17.6804,0.396992,0.0208309
60254,13956,1.01585,0.000411655,0.0,24803,17.5174,0.395059,0.0185865
60255,15179,1.01583,0.00038758,0.0,26641,17.6708,0.39685,0.0177171
60256,13529,1.01585,0.000426228,0.0,23771,17.6579,0.394963,0.0189727
60257,15665,1.01583,0.000377209,0.0,27957,17.7691,0.397446,0.0167042
60258,17008,1.01581,0.00034478,0.0,30369,17.6646,0.397273,0.0162337
60259,14554,1.01583,0.000378466,0.0,25589,17.7152,0.399282,0.0186408
60260,14802,1.01584,0.000390724,0.0,26020,17.5934,0.397349,0.0171022
60261,16302,1.01582,0.000352662,0.0,29093,17.6853,0.394204,0.01698
60262,14083,1.01584,0.000398199,0.0,24818,17.6243,0.403354,0.0208317
60263,14501,1.01582,0.000352575,0.0,25391,17.6009,0.394619,0.0178804
60264,15684,1.01581,0.00034377,0.0,27758,17.7448,0.397836,0.0180489
60265,15011,1.01583,0.000374657,0.0,26919,17.592,0.39789,0.016011
60266,15062,1.01581,0.000340188,0.0,26762,17.6203,0.396653,0.0190195
60267,14789,1.01582,0.000355687,0.0,26463,17.7579,0.40287,0.0201413
60268,14265,1.01584,0.000384634,0.0,25135,17.7493,0.396741,0.0185797
60269,16636,1.01581,0.000331562,0.0,29676,17.7141,0.394265,0.0151638
60270,13107,1.01585,0.000421292,0.0,23093,17.6239,0.395788,0.0207855
60271,15163,1.01581,0.000346455,0.0,26762,17.665,0.399958,0.0202152
60272,13342,1.01583,0.000382941,0.0,23163,17.6722,0.392692,0.0204637
60273,14021,1.01582,0.000366373,0.0,24772,17.7024,0.396945,0.0191749
60274,15046,1.01581,0.000331152,0.0,26458,17.675,0.39442,0.0182553
60275,14800,1.01582,0.000362113,0.0,26185,17.4938,0.394441,0.0167271
60276,15018,1.01584,0.000391924,0.0,26610,17.6576,0.39469,0.017174
60277,14694,1.01583,0.00037723,0.0,26059,17.6424,0.398811,0.0191105
60278,12855,1.01583,0.000387948,0.0,22659,17.67,0.39634,0.0191094
60279,15926,1.01581,0.00034562,0.0,28261,17.7193,0.395045,0.017303
60280,16220,1.01581,0.000341051,0.0,29138,17.5332,0.394504,0.0151006
60281,14079,1.01584,0.000400384,0.0,24880,17.666,0.395999,0.019373
60282,14585,1.01581,0.00034365,0.0,25806,17.6699,0.396062,0.0171666
60283,15905,1.01581,0.000329399,0.0,28306,17.627,0.39632,0.0176288
60284,13279,1.01584,0.000396509,0.0,23324,17.726,0.394657,0.0216515
60285,16356,1.0158,0.000321671,0.0,29184,17.6608,0.396435,0.0159334
60286,15169,1.0158,0.000329224,0.0,27004,17.6776,0.393513,0.0162569
60287,12823,1.01586,0.000439644,0.0,22654,17.6018,0.394733,0.019246
60288,14789,1.01583,0.000381374,0.0,26182,17.6747,0.397111,0.0175693
60289,13734,1.01583,0.000375005,0.0,24133,17.6556,0.396509,0.0193097
60290,13508,1.01582,0.000352546,0.0,23739,17.6047,0.400632,0.0197144
60291,14031,1.01581,0.000341072,0.0,24949,17.6623,0.396918,0.0186781
60292,15152,1.0158,0.000329564,0.0,27082,17.5131,0.395646,0.0156562
60293,14817,1.0158,0.000329584,0.0,26127,17.7092,0.39771,0.0209362
