Unnamed: 0,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter,TCPInputPloss
2230,2486,41.0205,0.00251259,0.0185036,4239,41.8429,0.372595,0.0217032
2231,2325,41.0206,0.00267162,0.0163441,3969,41.8409,0.375547,0.0196523
2232,2619,41.0205,0.00246754,0.0213822,4462,42.0507,0.388172,0.0219632
2233,2808,41.0203,0.00215556,0.0138889,4861,41.8704,0.381146,0.0195433
2234,2751,41.0204,0.00227067,0.0185387,4843,41.869,0.387843,0.0161057
2235,2668,41.0204,0.00239526,0.0153673,4374,41.8878,0.365181,0.0210334
2236,24103,51.0194,0.000350069,0.0,48147,75.9741,0.528663,0.0
2237,24073,51.0195,0.000370498,0.0,48084,76.2396,0.525552,0.0
2238,24031,51.0194,0.000332379,0.0,47999,76.5305,0.488953,0.0
2239,24082,51.0194,0.000338245,0.0,48104,76.336,0.512149,0.0
2240,24080,51.0194,0.000340527,0.0,48100,76.7447,0.493701,0.0
2241,24085,51.0194,0.000331768,0.0,48108,76.3211,0.505324,0.0
2242,24071,51.0194,0.000337655,0.0,48082,76.8376,0.509536,0.0
2243,24095,51.0196,0.000342783,0.0,48132,75.8187,0.509364,0.0
2244,24109,51.0194,0.000331156,0.0,48160,75.8807,0.513634,0.0
2245,24069,51.0194,0.000344499,0.0,48077,76.1431,0.533269,0.0
2246,24082,51.0194,0.000344661,0.0,48104,75.8597,0.531438,0.0
2247,2797,51.0203,0.00210262,0.00786557,4958,51.891,0.391374,0.0114966
2248,3096,51.0201,0.00170969,0.0113049,5415,52.2839,0.40113,0.0110803
2249,3266,51.0201,0.001746,0.00857318,5722,52.1198,0.397979,0.0108354
2250,3265,51.0201,0.00179465,0.00796325,5721,51.9338,0.388842,0.0111869
2251,3176,51.0202,0.00196168,0.00850126,5727,51.9388,0.401689,0.0090798
2252,3154,51.0202,0.00196271,0.0117311,5593,51.9186,0.391953,0.00929734
2253,3111,51.0202,0.00193656,0.008036,5648,51.915,0.399334,0.00867564
2254,2863,51.0202,0.00198286,0.0115264,5080,51.9649,0.396621,0.011811
2255,2634,51.0203,0.00206576,0.0117692,4693,51.9259,0.399402,0.0117196
2256,3021,51.0203,0.00207083,0.0102615,5342,51.969,0.39704,0.0112317
2257,3018,51.0203,0.00205914,0.00960901,5388,51.9001,0.393052,0.0111359
2258,2040,51.0208,0.00305856,0.0196078,3505,51.9602,0.389149,0.0194009
2259,2027,51.0207,0.00298591,0.0157869,3426,52.108,0.395219,0.0201401
2260,2189,51.0207,0.00286289,0.0191868,3807,51.8757,0.389202,0.0168111
2261,2227,51.0206,0.00272923,0.0193085,3821,51.8924,0.385525,0.0188432
2262,2509,51.0206,0.00261404,0.0195297,4315,51.9231,0.3892,0.0162225
2263,2413,51.0205,0.00252487,0.0178201,4139,51.9171,0.386798,0.0186035
2264,1795,51.0211,0.00362683,0.0189415,3104,51.8787,0.386037,0.0219072
2265,2041,51.0208,0.00317967,0.0142087,3505,51.9421,0.385159,0.0219686
2266,2350,51.0206,0.00272214,0.0174468,4007,51.9142,0.387809,0.0184677
2267,1628,51.0212,0.00382937,0.0153563,2803,51.8728,0.387574,0.023903
2268,2022,51.0209,0.00338129,0.0178042,3361,51.9066,0.377945,0.0243975
2269,22943,61.0194,0.000354554,0.0,45817,71.4193,0.554445,0.0
2270,22935,61.0194,0.000351421,0.0,45801,71.7496,0.527567,0.0
2271,22935,61.0194,0.000373612,0.0,45801,72.0544,0.519548,0.0
2272,22935,61.0194,0.000360901,0.0,45801,72.061,0.514874,0.0
2273,22961,61.0194,0.000362922,0.0,45853,72.1896,0.566569,0.0
2274,22935,61.0194,0.000350036,0.0,45801,72.2847,0.531399,0.0
2275,22961,61.0194,0.00035505,0.0,45852,72.3973,0.534262,0.0
2276,22935,61.0194,0.000354024,0.0,45801,72.1179,0.513059,0.0
2277,22935,61.0194,0.000364947,0.0,45801,71.2602,0.517551,0.0
2278,22935,61.0195,0.000384028,0.0,45801,71.9608,0.529664,0.0
2279,22946,61.0194,0.000358456,0.0,45823,72.0548,0.532783,0.0
2280,2032,61.0208,0.00318694,0.011811,3628,61.9238,0.401065,0.0110254
2281,2322,61.0207,0.00294749,0.00904393,4191,61.9785,0.410721,0.00906705
2282,2421,61.0207,0.00285811,0.00908715,4357,61.923,0.399664,0.00918063
2283,2089,61.0209,0.00331169,0.00957396,3657,61.9544,0.400625,0.0142193
2284,2606,61.0206,0.00266113,0.00805833,4629,62.0711,0.40802,0.00972132
2285,2598,61.0206,0.0026856,0.00885296,4621,62.5684,0.419382,0.00995456
2286,2102,61.0209,0.00328628,0.00808754,3723,61.8889,0.394198,0.0123556
2287,2533,61.0206,0.00268166,0.00829056,4586,61.9885,0.413948,0.00915831
2288,1883,61.0211,0.00362207,0.0122146,3382,61.9559,0.41314,0.0109403
2289,2363,61.0207,0.00295748,0.0114262,4157,62.0473,0.406671,0.0108251
2290,2543,61.0206,0.00272333,0.00943767,4324,62.3404,0.405959,0.0117946
2291,1838,61.0211,0.00363491,0.0174102,3139,61.8898,0.387332,0.0175215
2292,1566,61.0214,0.00429329,0.0229885,2666,61.9095,0.389672,0.0206302
2293,1638,61.0214,0.00425327,0.0152625,2839,61.8941,0.38882,0.0190208
2294,1728,61.0211,0.00378476,0.0208333,3028,61.9045,0.398693,0.0171731
2295,1527,61.0215,0.00444795,0.0130976,2618,61.8821,0.388091,0.0210084
2296,2182,61.0209,0.00326798,0.0164986,3702,62.3219,0.402729,0.0164776
2297,1736,61.0212,0.00395461,0.0236175,2995,62.001,0.40028,0.0180301
2298,1703,61.0213,0.0040873,0.0135056,2861,61.882,0.38054,0.0223698
2299,1929,61.0211,0.00367803,0.0134785,3306,61.9201,0.391484,0.0178463
2300,1491,61.0215,0.00447972,0.01945,2528,61.8735,0.386233,0.0261076
2301,1558,61.0215,0.00448326,0.0186136,2697,61.9252,0.396826,0.0207638
2302,19621,71.0195,0.000418492,0.0,39167,75.6912,0.470811,0.0
2303,19636,71.0195,0.000423367,0.0,39198,75.4502,0.449181,0.0
2304,19621,71.0195,0.000411204,0.0,39167,75.927,0.480126,0.0
2305,19621,71.0195,0.000433383,0.0,39167,75.0568,0.477309,0.0
2306,19633,71.0195,0.000415489,0.0,39191,75.2031,0.487395,0.0
2307,19621,71.0195,0.000419182,0.0,39167,75.7465,0.463735,0.0
2308,19621,71.0195,0.000430241,0.0,39167,74.9804,0.477676,0.0
2309,19628,71.0195,0.000421781,0.0,39181,75.773,0.467487,0.0
2310,19635,71.0195,0.000418184,0.0,39195,75.927,0.455533,0.0
2311,19624,71.0195,0.00040731,0.0,39173,75.0711,0.447242,0.0
2312,19628,71.0195,0.000410172,0.0,39181,75.3006,0.46015,0.0
2313,2011,71.0208,0.00304317,0.00546992,3535,72.1484,0.407978,0.0113154
2314,2430,71.0206,0.00268443,0.0131687,4317,72.0833,0.412507,0.00880241
2315,1927,71.0208,0.00312342,0.00726518,3447,71.9421,0.402288,0.0110241
2316,2042,71.0208,0.00313204,0.0117532,3666,72.0938,0.4194,0.00981997
2317,2100,71.0207,0.00287398,0.012381,3724,72.0013,0.404946,0.0123523
2318,2125,71.0209,0.00327925,0.00941176,3740,72.1766,0.41359,0.0101604
2319,2394,71.0206,0.00278588,0.00877193,4249,72.129,0.41423,0.01012
2320,1731,71.021,0.00347543,0.00635471,3124,71.9576,0.41261,0.0102433
2321,1897,71.0209,0.00335537,0.00896152,3380,71.9573,0.405992,0.0115385
2322,1886,71.021,0.00350508,0.00954401,3344,72.0355,0.40768,0.0125598
2323,1932,71.0209,0.00325897,0.00621118,3430,71.9132,0.401198,0.0119534
2324,1494,71.0213,0.0040449,0.0167336,2599,71.894,0.39622,0.0176991
2325,1603,71.021,0.0035954,0.0180911,2815,71.9357,0.399727,0.016341
