Unnamed: 0,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter,TCPInputPloss
8920,1956,61.046,0.00740099,0.0158487,3537,112.652,1.86927,0.00876449
8921,1400,61.0471,0.00965028,0.0128571,2441,106.935,2.57905,0.0139287
8922,1854,61.0462,0.00788031,0.0183387,3308,110.701,2.14202,0.0105804
8923,2010,61.0455,0.00638202,0.0114428,3603,109.859,1.92951,0.00915903
8924,1431,61.0475,0.0106025,0.0167715,2443,68.3771,1.38347,0.019648
8925,1424,61.0474,0.010209,0.0259831,2459,65.9682,1.41125,0.0211468
8926,1791,61.0465,0.00846872,0.0217755,3128,73.3097,1.24776,0.0150256
8927,1595,61.0471,0.00962773,0.0219436,2724,68.1612,1.33353,0.0183554
8928,1806,61.0467,0.00878731,0.0227021,3078,67.788,1.28987,0.0188434
8929,1301,61.048,0.0114817,0.0207533,2178,68.0241,1.47746,0.0257117
8930,1433,61.0473,0.0100348,0.0195394,2423,66.6898,1.38543,0.021461
8931,1375,61.0477,0.0107882,0.0210909,2327,68.3139,1.42155,0.0270735
8932,1574,61.047,0.00949435,0.0209657,2673,66.5983,1.35606,0.0216985
8933,1437,61.0474,0.0103082,0.0187891,2514,66.0559,1.38573,0.0178998
8934,1791,61.0466,0.00861878,0.0184255,2953,70.7585,1.36087,0.0233661
8935,2014,61.0461,0.00763227,0.0188679,3456,66.5558,1.32864,0.0170718
8936,1428,61.0475,0.0105253,0.0182073,2390,67.726,1.4286,0.0238494
8937,1326,61.0475,0.0104881,0.015083,2300,66.3591,1.4163,0.0217391
8938,1491,61.0471,0.00962359,0.0147552,2556,66.0903,1.33968,0.0195618
8939,1330,61.0475,0.010524,0.0165414,2251,70.0024,1.48545,0.0275433
8940,1513,61.0473,0.0101106,0.0178453,2603,67.1543,1.4362,0.0188244
8941,1290,61.0478,0.0110121,0.0248062,2159,67.1715,1.55603,0.0245484
8942,1477,61.0474,0.0102916,0.0236967,2559,69.363,1.32155,0.0187573
8943,1492,61.0473,0.0101283,0.022118,2525,68.2691,1.39115,0.0213861
8944,1609,61.047,0.00946388,0.0192666,2802,67.1144,1.38567,0.0189151
8945,1672,61.047,0.00936977,0.0161483,2875,67.381,1.32545,0.0205217
8946,1422,61.0476,0.0106802,0.0161744,2431,67.7684,1.42458,0.0222131
8947,1659,61.0469,0.00918865,0.021097,2759,73.6894,1.36962,0.0210221
8948,1990,61.0461,0.00773428,0.0246231,3503,67.9362,1.21068,0.0134171
8949,1664,61.0469,0.00930576,0.0198317,2894,66.9328,1.36242,0.0172771
8950,1506,61.0473,0.010037,0.0225764,2548,67.6912,1.45258,0.0239403
8951,1654,61.0471,0.00964757,0.0199516,2879,66.8614,1.39677,0.0184092
